count,word,rank,cumulative_fraction
13717,wär,668,0.772
13690,überall,669,0.7722
13655,voll,670,0.7723
13645,feuer,671,0.7724
13565,alleine,672,0.7726
13548,büro,673,0.7727
13535,direkt,674,0.7729
13439,kumpel,675,0.773
13429,trotzdem,676,0.7732
13384,hm,677,0.7733
13299,erinnern,678,0.7734
13275,lernen,679,0.7736
13257,laufen,680,0.7737
13211,denkt,681,0.7739
13182,könig,682,0.774
13135,new,683,0.7741
13117,tat,684,0.7743
13082,nennen,685,0.7744
13065,kleines,686,0.7746
13054,wem,687,0.7747
12965,eigenen,688,0.7748
12953,aufhören,689,0.775
12945,könnt,690,0.7751
12837,deswegen,691,0.7752
12820,danach,692,0.7754
12804,verlieren,693,0.7755
12801,neues,694,0.7756
12783,völlig,695,0.7758
12773,hattest,696,0.7759
12743,leider,697,0.776
12732,hol,698,0.7762
12722,seht,699,0.7763
12707,luft,700,0.7764
12643,stelle,701,0.7766
12612,ziehen,702,0.7767
12591,funktioniert,703,0.7768
12590,verstehst,704,0.777
12579,verschwinden,705,0.7771
12434,heiraten,706,0.7772
12431,wolltest,707,0.7774
12405,unserem,708,0.7775
12389,spricht,709,0.7776
12376,entschuldige,710,0.7778
12359,jedes,711,0.7779
12343,probleme,712,0.778
12311,lebt,713,0.7782
12298,könntest,714,0.7783
12262,versuche,715,0.7784
12250,groß,716,0.7785
12239,gebracht,717,0.7787
12239,krank,718,0.7788
12202,gegangen,719,0.7789
12195,wow,720,0.7791
12186,kaffee,721,0.7792
12160,straße,722,0.7793
12146,froh,723,0.7794
12129,genommen,724,0.7796
12101,fühle,725,0.7797
12067,wert,726,0.7798
12056,rufen,727,0.78
12050,erde,728,0.7801
12021,richtige,729,0.7802
12003,suche,730,0.7803
11909,buch,731,0.7805
11906,stück,732,0.7806
11899,getroffen,733,0.7807
11855,lch,734,0.7808
11828,tagen,735,0.781
11809,nochmal,736,0.7811
11797,nachdem,737,0.7812
11784,möchten,738,0.7813
11773,arzt,739,0.7815
11734,typen,740,0.7816
11723,fand,741,0.7817
11704,vertrauen,742,0.7818
11698,sam,743,0.782
11691,drüben,744,0.7821
11687,himmel,745,0.7822
11686,erklären,746,0.7823
11650,interessiert,747,0.7825
11607,irgendwo,748,0.7826
11590,nachricht,749,0.7827
11559,glaub,750,0.7828
11523,tja,751,0.7829
11502,gutes,752,0.7831
11488,onkel,753,0.7832
11488,spielt,754,0.7833
11440,genauso,755,0.7834
11434,geschafft,756,0.7835
11424,großer,757,0.7837
11413,waffen,758,0.7838
11408,i,759,0.7839
11394,licht,760,0.784
11393,körper,761,0.7841
11383,kaufen,762,0.7843
11371,weniger,763,0.7844
11351,lasse,764,0.7845
